Kurs;Lektionsname;Art;Minuten Timeout;Eicheln;Reihenfolge in Kurs;aktiviert zu Beginn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TestKurs;Lektion 1;Info;0;13;1;1;Dies ist eine <b>Einführung</b>;Text und Bilder sind gemeinsam möglich;<img src="http://coolwildlife.com/wp-content/uploads/galleries/post-3004/Fox%20Picture%20003.jpg" alt="Fox red nice" style="float:below">;Das ist ein Bild, an welchem wir keine Rechte haben.;<img src="http://coolwildlife.com/wp-content/uploads/galleries/post-3004/Fox%20Picture%20003.jpg" alt="Fox red nice" style="float:below">;;<img src="http://coolwildlife.com/wp-content/uploads/galleries/post-3004/Fox%20Picture%20003.jpg" alt="Fox red nice" style="float:below">;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TestKurs;Lektion 2;Video;0;16;2;1;Hier haben wir versucht, ein Video einzubauen;_slide_;[VIDEO]<iframe width="800" height="600" src="https://www.youtube.com/embed/k_GM1JA608Y?rel=0" frameborder="0" gesture="media" allow="encrypted-media" allowfullscreen></iframe>;_slide_;[VIDEO]https://media.giphy.com/media/3o6vXGPiEH5yY7QORi/giphy.mp4;_slide_;hoffentlich hat das geklappt…;gutes Video oder?;:*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Facebook;Facebook und Privatsphäre?;Info;0;3;1;1;Diese Frage hast du dir sicher schonmal gestellt:;Was hat Facebook mit meiner Privatsphäre zu tun, betrifft mich das überhaupt und wenn ja, wo?;<img src="http://de.toonpool.com/user/65/files/datenschutz_2076665.jpg" alt="Facebook Cartoon" style="float:below">;_slide_;Ein wichtiger Punkt, der zeigt, wie sehr Facebook über seine Nutzer bescheid weiß, ist die Zielgruppenorientierte Werbung.;Wenn plötzlich rechts unauffällig beim scrollen durch die Timeline die perfekte neue Winterjacke erscheint, dann nehmen wir das gerne hin. Aber wie kommt Facebook darauf, genau diese Jacke jetzt anzuzeigen? Hier ein paar Beispiele, was Facebook wirklich alles über uns weiß, teilweise noch bevor wir es wissen.;_slide_;Was Facebook wirklich über uns weiß (ein Auszug);Daten, die wir selbst preisgeben, z.B. im eigenen Profil:;Ort, Alter, Geschlecht, Sprache, Bildungsniveau, Ausbildungsbereich, Schule; ;Daten, die wir eher nicht preisgeben würden:;-Einkommen und Eigenkapital;-Hausbesitz und -Typ, sowie Wert und Größe;-werdende Eltern;-Ob wir von Freunden und Familie entfernt sind;-Ob wir planen, ein Auto zu kaufen;-Alter des Autos des Nutzers;-Kosten für das neue Auto;-Ob wir für wohltätige Zwecke gespendet haben;-Anzahl der Kredite;-Kreditkarten und Häufigkeit der Nutzung;-Welche Art von Urlaub wir buchen;-Ob wir demnächst umziehen; ;Das ist nur ein Auszug aller Daten, die Facebook über uns sammelt und kennt!;_slide_;Diese und noch weitere Daten werden dazu genutzt, Personen Gruppen zuzuordnen und für diese Gruppen Profile anzulegen. Die Gruppierung dient offziell hauptsächlich Werbezwecken.;_slide_;Noch ein paar allgemeine Infos über Facebook gefällig?;Facebook hat 1,71 Milliarden Nutzer und ca 1,31 Milliarden sind täglich online;Facebook ist die am zweithäufigsten besuchte Website;Alle 60 Sekunden werden…;… ca. 250.000 Bilder hochgeladen;… 100.000 Freundschaftsanfragen gestellt;… ca. 3.000.000 Updates geteilt;_slide_;Woher Facebook all diese Daten hat oder sich selbst generiert, erfährst du in diesem Kurs!;;;;;;;;
Facebook;Wichtige Privatsphäre Einstellungen auf Facebook;Info;0;3;2;0;Hast du dich schon einmal mit den Privatsphäre Einstellungen auf Facebook beschäftigt?;Nein? Da bist du sicher nicht alleine!;Kaum ein Nutzer ändert die Standardeinstellungen. Warum, und was diese Einstellungen überhaupt bedeuten, erfährst du in dieser Lektion.;_slide_;Schauen wir uns einmal die Standardeinstellungen an.;Überleg dir gerne auch schon einmal, was du denkst, dass die Einstellungen bedeuten und bewirken.;Folgende Themen sind in den Einstellungen zu finden:;_slide_;<b>Allgemeine Kontoeinstellungen</b>;Sicherheitseinstellungen;Privatsphäre-Einstellungen und Tools;Chronik und Markierungen;Blockieren;Sprache;Benachrichtigungen, Handy und öffentliche Einstellungen;Einstellungen zu Werbung, Apps und Zahlungsmethoden;_slide_;Wer kann meine Inhalte sehen?;Inhalte, das sind alle Beiträge, die du so während der Nutzung von Facebook postest. Dazu gehören schriftliche Beiträge, Emotionen, Videos, Bilder, die von dir selbst hochgeladen wurden oder die du teilst.;Da dies alles Informationen sind, die du freiwillig teilst, ist der Personenkreis, der diese Informationen konsumieren kann mit “Freunde” sicher gut gewählt.;Tipp: Vor jedem Post kannst du direkt entscheiden, für wen die Inhalte sichtbar sein sollen. Achte dazu auf die angezeigte Zielgruppe. Das kannst du auch nachträglich entscheiden!;_slide_;Wer kann mich kontaktieren?;Auch eine interessante Frage ist, wer mich auf Facebook überhaupt finden kann.;Möchte ich, dass mein Name für jemanden, der vielleicht viele gemeinsame Freunde mit mir hat und der nach jemandem mit den gleichen Vornamen sucht, direkt anzeigt wird?;Möchte ich für potentielle Arbeitgeber schnell auffindbar sein?;_slide_;Wahrscheinlich möchte ich lieber selbst entscheiden, wer mich findet.;Es ist sogar möglich mit der eigenen E-Mail Adresse oder Handynummer auf Facebook gefunden zu werden.;Umso wichtiger, diese Einstellung einzuschränken und auf “Freunde” zu setzen.;_slide_;Chronik und Markierungseinstellungen;Zu Allerletzt lohnt es sich einen kurzen Blick auf die Chronik und Markierungseinstellungen zu werfen. Diese stehen nämlich potentiell auf “alle”. Somit ist es jedem möglich, Markierungen für dich zu setzen oder einfach deine gesamte Chronik mit allen Inhalten, die du jemals geteilt hast zu sehen, ohne dich überhaupt zu kennen.;Ein wichtiger Punkt, um nachzuhaken!;_slide_;Der blaue Privatsphäre-Dino;Facebook hat seit ungefähr zwei Jahren seine Einstellung zu der Privatsphäre seiner Nutzer geändert. Wenige kennen sie, noch weniger nutzen sie, aber vorbei schauen lohnt sich! Mit dem Privatsphäre-Check führt Facebook seine Nutzer schnell, unkompliziert und effizient durch alle wichtigen Einstellungen und gibt sogar die Möglichkeit, diese direkt aus der Tour zu ändern. Dafür einfach in der Desktop-Version oben rechts das Schloss anklicken und den Privatsphäre-Check starten!;;;;;;;;;
Facebook;Werbeanzeigen;Info;0;3;3;0;Werbung, Werbung, Werbung.;Beim surfen geben wir unendlich viele Daten von uns preis. Auch Facebook sammelt viele Daten über uns.;Manches erscheint echt unheimlich. Erfahre in dieser Lektion, wie du beeinflussen kannst, welche Werbung basierend auf deinen Facebook Daten generiert und weitergegeben wird.;_slide_;Erstmal:;Die Werbung wird basierend auf deinen Facebook-Aktivitäten generiert. Dazu zählen also auch Likes, Emotions, Verweildauer auf Videos und anderen Beiträgen etc.;_slide_;Wenn du das nicht möchtest, kannst du dies in deinen Werbeanzeigen-Einstellungen ändern;Diese findest du unter der Einstellungsseite im unteren Block unter “Werbeanzeigen”. Der letzte Reiter hier nennt sich “Werbeanzeigen basierend auf meinen Einstellungen” und führt zum Kern der Sache.;_slide_;<b>Werbeanzeigen basierend auf meinen Einstellungen</b>;Klickst du hier, erhältst du eine Übersicht über alle Informationen, die von Facebook dazu genutzt werden, passende Werbung für dich zu generieren.;Hier finden sich viele Informationen über dich. Vielleicht sogar solche, die du nicht mal selbst mit dir in Verbindung gebracht hättest.;Es lohnt sich auf jeden Fall, einmal darin zu stöbern und aufzuräumen.;_slide_;<b>Auch interessant: Werbetreibende mit deinen Kontaktinfos.</b>;Da stellt man sich doch die Frage, woher weiß Facebook, welche anderen Unternehmen meine Daten haben?;Ganz einfach: von den Unternehmen selbst.;Um für dich sinnvolle Werbung zu schalten, geben die Unternehmen deine Daten (z.B. Telefonnummer, E-Mail Adresse) an Facebook weiter, um so eine Schnittmenge zu ihren Angeboten zu generieren.;_slide_;Andere Werbetreibende nutzen Facebook-Technologien, um zu tracken, ob du auf Facebook bist und dann zielgruppengerechte Werbung für sich zu schalten.;Das kann schon passieren, wenn du nur eine App des Unternehmens installierst. Ein gutes Beispiel ist BILD.de.;Da liest man einmal einen Artikel und schon erscheinen ähnliche Artikel in der Facebook Werbung. Da BILD einen sogenannten Facebook-Pixel verwendet, um die Verknüpfung ihrer Website mit Facebook herzustellen.;So schnell kann es gehen, dabei liest man sonst doch gar keine Artikel der BILD!;_slide_;Welche Informationen werden sonst noch zur Generierung von Werbung genutzt?;Ganz vorne stehen natürlich Seiten, die du mit “Gefällt mir” markiert hast. Aber auch vorgeschlagene Seiten, die deine Freunde nutzen. Alle Informationen von deinem Facebook-Profil, aber auch aus Instagram (vielleicht demnächst auch aus Whatsapp, wer weiß…).;_slide_;Und ein wichtiger Punkt, der nicht vergessen werden darf: der Standort.;Nicht nur den, den du freiwillig gepostet hast, um deinen Freunden mitzuteilen “Hey, ich bin gerade hier!”. Nein, auch wann und wo du dein Smartphone genutzt hast oder du dich nur ins Internet eingewählt hast.;Hier ist es auf jeden Fall die Klicks wert, einmal auf dem Smartphone nach den GPS- und Ortungsdiensten zu sehen und welche Informationen Facebook dort abgreifen darf.;;;;;;;;;;;;;;;
Facebook;Tipps und Tricks;Info;0;3;4;0;Wie wir gesehen haben haben, ist Facebook wirklich eine Datenkrake!;Nun wollen wir kurz zusammenfassen, worauf es sich lohnt zu achten um gegebenenfalls ab und an aktiv zu werden.;Zur Verbesserung des eigenen Datenschutzes!;_slide_;Facebook ändert sich häufig in der Weiterentwicklung und hat meist darauf verzichtet, seine Nutzer darauf hinzuweisen oder eine Einwilligung abzuholen, dass sie die Voreinstellungen geändert haben.;Die neuen Features tragen meist den Radius “Öffentlich”, damit möglichst viele Nutzer viele Informationen sehen. Es ist demnach ratsam, sich aktiv darüber zu informieren, welche Dienste Facebook freischaltet und welche Änderungen dies mit sich trägt.;Also: Privatsphären-CheckUp durchführen!;_slide_;Facebook greift häufig auf Standorte seiner Nutzer zurück.;Überprüfe die Einstellungen deiner Ortungs- oder GPS-Dienste.;_slide_;Zielgruppengerechte Werbung und Informationen, die außerhalb von Facebook von Unternehmen über mich gesammelt werden?;Nehme die Werbeanzeigen-Einstellungen genauer unter die Lupe!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Facebook;Facebook-Quiz;Quiz;7200000;4;5;0;[QUIZ]Wie gelangt man zu den Privatsphäre-Einstellungen?;0Links in der Leiste mit allen Apps und Diensten;1Oben rechts auf dem kleinen Schloss;0Facebook hat keine Privatsphäre-Einstellungen;0Auf der Startseite werden sie direkt angezeigt;_slide_;[QUIZ]Wo kann man einstellen, wer meine Beiträge sehen kann?;0Gar nicht, Posts sind immer öffentlich;1In den Privatsphäre-Einstellungen;0Beiträge können immer nur meine Freunde sehen;1Vor jedem Post kann man selbst entscheiden, welche Zielgruppe die Inhalte sehen darf;_slide_;[QUIZ]Facebook verwendet immer die bestmöglichen Voreinstellungen für seine Nutzer.;0Ja, die Voreinstellungen sind unbedenklich;1Bei manchen Einstellungen lohnt es sich, über die bestmögliche Einstellung für sich persönlich nachzudenken.;1Nein, häufig wählt Facebook “Öffentlich” für Einstellungen.;1Facebook ändert häufig die Einstellungen, ohne Nutzer darauf hinzuweisen.Ein Besuch der Einstellungen lohnt sich auch dann, wenn man schon die persönlichen Präferenzen gewählt hat.;_slide_;[QUIZ]Welche Informationen kann Facebook über mich haben (auch wenn ich sie nicht explizit preisgegeben habe)?;0mein heutiges Mittagessen.;1Die Marke meines Autos.;1Welche Kreditkarten ich nutze.;1Beziehungsstatus;_slide_;[QUIZ]Werbeanzeigen…;1...werden dazu genutzt personalisierte Werbung zu schalten;0...nutzt nur Facebook;1...können auch externe Anbieter auf Facebook schalten;0...sind unbedenklich;_slide_;[CERT]8;Sehr gut! Jetzt hast du einiges über Facebook gelernt. Wir hoffen, du bleibst dran und schaust auch weiterhin ab und zu mal bei deinen Einstellungen vorbei.;Ups, schau lieber nochmal genau nach und versuch es später noch einmal.;;;;;;;;;;;;;
Google;Let me google it...;Info;0;3;1;0;Wo ist der nächste Zahnarzt?;Wie kann ich meinen Fahrradreifen reparieren?;Wo ist ein bestimmtes Produkt gerade am günstigsten?;_slide_;Das und noch viel mehr sind Fragen, die wir heutzutage am ehesten einem Stellen: Google.;Aber hast du schon einmal darüber nachgedacht, was passiert, nachdem du gegooglet hast?;Bleiben meine Suchanfragen erhalten? Was weiß Google danach über mich? Damit wollen wir uns hier beschäftigen.;_slide_;Google stellt ein Tool bereit, mit dem man seine Privatsphäre überprüfen kann.;Das schauen wir uns in der Lektion “Privatsphärecheck” genauer an.;_slide_;Außerdem gibt es eine Vielzahl an Diensten von Google, die wir wie selbstverständlich nutzen. Allerdings sind auch diese Dienste enorme Datenfresser, genau wie Googles Kernkompetenz: Die Suche.;Auch das betrachten wir genauer.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Google;Daten, die Google sammelt;Info;0;3;2;0;Google sammelt nicht einfach nur Daten über dich. Google kombiniert diese geschickt und erstellt hiermit detaillierte Profile.;Warum Nutzerprofile kritisch sein können, erfährst du in einem anderen Kurs. Hier erfährst du, wie Google Daten über dich sammelt.;_slide_;Die Nutzungsbedingungen von Google akzeptierst du nicht nur erst, sobald du ein Google Konto hast. Auch schon, wenn du etwas einfach nur “googlest” erklärst du dich damit einverstanden, Google Daten über dich preiszugeben.;_slide_;Standardmäßig hast du ein Google Konto, wenn du ein Android Smartphone hast. Zum Beispiel um Apps aus dem PlayStore zu laden. Oder aber auch, wenn du eine E-Mail Adresse, bspw. mit gmail.com als Ende besitzt. Oder du nutzt Google Drive um an einem Projekt zu arbeiten. Ein Google Konto ist für viele Nutzer aus dem Alltag kaum noch weg zu denken.;_slide_;[QUIZ]Google hat viele große Datenquellen. Was meinst du, welche gehören dazu?;1Persönliche Daten;0Apps und Anwendungen, die ich nutze;1Deine Aktivitäten;1Von dir erstellte Inhalte (Kontakte, Termine…);_slide_;Das kommt dir so vor als wären es alle Daten die man nur sammeln kann? Stimmt auch irgendwie!;_slide_;Persönliche Daten und Aktivitäten, sind von dir selbst erstellte Daten. Name, E-Mail Adresse, Telefonnummer und als Android-Nutzer sogar eine Kreditkartennummer.;Aber auch Termine, Mails, Notizen, Sprachbefehle und eingetippte Suchanfragen, alles Daten die du selbst generierst und die Google speichert.;_slide_;Google erfasst aber auch Daten ohne dein Zutun. Hier eine kleine Liste:;das verwendete Betriebssystem;Gerätetyp;Bildschirmgröße;IP Adresse;Telefonnummer über die SIM Karte;_slide_;Mit den letzten beiden kann Google dauerhaft identifizieren, um welches Gerät es sich handelt und somit alle gesammelten Daten zusammenführen.;_slide_;Besonders heikle Informationen auf deinem Smartphone sind jegliche Telekommunikationsmetadaten.;Dazu zählen die eigene Telefonnummer, die Anrufernummer, Weiterleitungsnummern, Datum und Uhrzeit von Anrufen, Dauer von Anrufen, SMS-Routing-Informationen und Art der Anrufe (entnommen aus der Datenschutzerklärung).;_slide_;Alles in Allem kann jeder Nutzer selbst festlegen, welche Daten Google speichern darf.;Es ist möglich, alle Daten einzusehen,zu löschen und deren Erhebung zu unterbinden. Was das “unterbinden” jedoch letztendlich bewirkt, lässt Google offen...;;;;;;;;;;;;;;
Google;Privatsphäre Check;Info;0;3;3;0;Wenn du ein Konto bei Google hast, dann hat Google Informationen über dich. Soweit so gut, aber welche Informationen?;Am einfachsten findest du das heraus, indem du das Tool “PrivatsphäreCheck” von Google direkt mal ausprobierst.;_slide_;Du findest es, indem du als eingeloggter User oben rechts auf dein Bild klickst und “Datenschutz” auswählst. Das bringt dich direkt zu den Datenschutzbestimmungen, wir klicken aber munter weiter zu “mein Konto” oben rechts und finden dann mittig unter "Persönliche Daten und Privatsphäre" den PrivatsphäreCheck.;_slide_;Was macht das Tool?;Googles Beschreibung ist die Folgende: “Überprüfen und aktualisieren Sie, welche Daten Google verwendet, um Ihre Nutzererfahrung zu personalisieren. Passen Sie an, welche Informationen Sie mit Freunden teilen oder veröffentlichen möchten.”;_slide_;Google führt dich nun durch verschiedene Punkte in deinen Einstellungen (ähnlich wie Facebook, falls du diesen Kurs schon bearbeitet hast). Relevant sind unter anderem: App & Webaktivitäten, YouTube Suchverlauf, Standortverlauf, Sprach & Audioaktivitäten, sowie Geräteinformationen von deinen genutzten Geräten.;_slide_;Der dritte und leider auch schon letzte Punkt beschäftigt sich mit relevanten Werbeanzeigen für dich;Genaue Informationen kann man hieraus jedoch auch nicht ziehen. Es lohnt sich, über “Einstellungen für Werbung verwalten” auch mal die Themen anzuschauen, die Google für dich relevant hält, und woher diese Daten kommen.;_slide_;Hast du zum Beispiel nie bei Google dein Geschlecht und dein Alter angegeben? Und dennoch kann Google klassifizieren, ob du männlich oder weiblich bist und eine Altersspanne für dich angeben.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Google;Google Dienste;Info;0;3;4;0;Google Dienste, das sind zum Beispiel Maps mit Standortbestimmung, die Google Suche, die aufgerufenen Seiten einer Suche oder deine Aktivität im PlayStore vom Smartphone aus.;_slide_;Sofern du die Standortbestimmungen nicht deaktiviert hast, speichert Google alle deine Wege und Aufenthaltsorte. Daraus bestimmt Google mögliche nächste Wege oder interessante Orte für dich.;Um es einmal ganz anschaulich zu machen: Du kannst diese Daten herunterladen und das sogar schon graphisch ausgewertet. Stell dir eine Weltkarte vor, auf der alle Orte markiert sind, an denen Google dich getrackt hat. Unglaublich!;_slide_;Es ist wirklich erstaunlich, wie viel Google mit seinen Nutzern teilt, man muss nur auf die Suche danach gehen.;_slide_;Auch der PlayStore speichert viele Daten, denn hier generierst du auch sehr viele relevante Daten.;Installierte Apps, gesuchte Apps etc. geben schon viele Informationen über dich preis.;_slide_;Apps, die im PlayStore landen, sind auch nicht immer unbedenklich. Auch viele Apps sammeln Daten über dich (schau doch mal in der App-Übersicht unserer Analyse vorbei).;Aber: Abhilfe wurde geschaffen. Und zwar in Form von alternativen App Stores. Ein Beispiel ist F-Droid.;_slide_;F-Droid ist ein Store für Android Apps. Das Konzept ist “Free and Open-Source”, was bedeutet, die Nutzung des Stores ist kostenlos und durch das Open-Source konzept auch sehr transparent und nutzerfreundlich.;_slide_;Apps, die auf F-Droid veröffentlicht werden, müssen zwei Kriterien erfüllen, die genau dem Konzept entsprechen.;Alle Apps sind Open-Source (Programmcode frei zugänglich) und kostenlos. Außerdem werden alle Apps auf Datenschutz und Sicherheit geprüft, bevor sie in den Store aufgenommen werden.;_slide_;Ein weiterer Vorteil: Nutzer müssen kein Konto anlegen, um Apps downloaden zu können. Apps, die zwar den Richtlinien von F-Droid entsprechen, aber dennoch Daten von Nutzern erheben, werden markiert.;Ein Blick auf den alternativen Store lohnt sich in jedem Fall!;;;;;;;;;;;;;;;;;;;;;;;;;;
Google;Google-Quiz;Quiz;7200000;4;5;0;[QUIZ]Was kann/ist Google?;1Suchmaschine;1Mail Provider;1Smartphone Hersteller;0Telefonanbieter;_slide_;[QUIZ]Welche Daten kennt Google?;0Gewicht;1Name;1Kontakte auf dem Smartphone;1Beziehungsstatus;_slide_;[QUIZ]Der PrivatsphäreCheck…;0...macht alle meine Daten sicher;1..führt Nutzer durch einen kleinen Teil an relevanten Einstellungen;0...erklärt mir ausführlich Werbeanzeigen;1...bringt nur in Verbindung mit weiterführender Recherche wirklich etwas;_slide_;[QUIZ]Apps und der PlayStore von Google…;1..benötigen häufig viele Permissions und erheben viele Daten;0...sind meist unbedenklich;1...können oft auch in F-Droid als datenschutzfreundlichere Alternative gefunden werden;1vereinfachen vieles auf dem Smartphone;_slide_;[QUIZ]Wie häufig wird der Standort eines Android Users von vielen populären Apps abgefragt?;1Alle vier Minuten;0Alle 20 Minuten;0Nur, wenn der Standort benötigt wird;0Nur, wenn der Nutzer aktiv zustimmt;_slide_;[CERT]10;Sehr gut! Du hast gut aufgepasst und kannst ganz gut einschätzen, welche deiner Daten von Google verarbeitet werden.;Nope, das war noch nicht ganz korrekt!;;;;;;;;;;;;;
Berechtigungen;Better ask for Permission!;Info;0;3;1;1;App-Berechtigungen - Nach welchem Prinzip funktionieren sie?; ;Wenn sich ein Nutzer eine App herunterlädt, wird er meist aufgefordert, der App bestimmte Berechtigungen (Permissions) zu erteilen. Eine App sollte eigentlich nur auf für ihren Zweck nötige Ressourcen zugreifen können.;Beim Durchlesen der Permissions stellt man jedoch häufig fest, dass viele davon für die eigentliche Funktionalität einer App gar nicht nötig sind.;_slide_;Dementsprechend stellen sich mehrere Fragen:;1. Wie funktionieren Berechtigungen?;2. Was passiert mit den zusätzlich erhobenen Daten?;3. Wie kann man Berechtigungen einschränken, ohne an Funktionalität einzubüßen? (Eine App für die Navigation wird nunmal oft den Standort benötigen);_slide_;Bei Android-Systemen werden Berechtigungen in "Gruppen" eingefordert, wobei jeder Gruppe mehrere Berechtigungen zugeordnet sind. Stimmt man der Berechtigungs-Gruppe „SMS-Nachrichten“ zu, so erlaubt man einer App zwei Dinge, nämlich sowohl das Lesen als auch das Schreiben von SMS. Auf der folgenden Seite siehst du eine Auflistungen dieser Berechtigungs-Gruppen bzw. Kategorien.;_slide_;Berechtigungs-Gruppen:; ;In-App-Käufe;Geräte- und App-Verlauf;Einstellungen für Mobilfunkdaten;Identität;Kontakte;Kalender;Standort;SMS-Nachrichten;Telefon;Fotos/Medien/Dateien;Kamera;WLAN-Verbindungsinformationen;Informationen zur Bluetooth-Verbindung;Wearable-Sensorendaten/ -Aktivitätsdaten;Geräte-ID und Anruferinformationen;Sonstiges; ;Eine Erklärung einzelner Kategorien findest du zum Beispiel in folgendem Artikel:;_slide_;[LINK]https://www.netzwelt.de/news/150834-android-app-berechtigungen-einfach-erklaert.html;_slide_;Was genau für eine App „normal”ist, muss im Einzelfall untersucht werden. Im Playstore kann man bei einem Eintrag einer App ganz nach unten scrollen und sich unter dem Punkt “Berechtigungsdetails” die genauen Informationen durchlesen.;Nun bleibt es einem oft selbst überlassen, sich zu überlegen, ob die eingeforderten Permissions verhältnismäßig sind.;;;;;;;;;
Berechtigungen;Permission denied x;Info;0;3;2;0;In der folgenden Lektion stellen wir dir ein paar Möglichkeiten vor, wie du unnötige Berechtigungen von Apps aufheben kannst.;Interessiert? Na dann los!;_slide_;Unter “Einstellungen” - “App-Berechtigungen” lassen sich ab Android 6.0 Marshmallow nun gezielt Berechtigungen entziehen. Für ältere Versionen kannst du dir die App “App-Ops” herunterladen. Alternativ kann man sein Handy auch rooten und weitere Einstellungen vornehmen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Berechtigungen;Permission Precision (Quiz);Quiz;3600000;4;3;0;[QUIZ]Kannst du die Berechtigungen von Apps einschränken?;0Nur wenn ich mein Handy roote;1Ja, auch dafür gibt es Einstellungen und Apps;0Apps benötigen generell keine Berechtigungen;0Apps benötigen keine Berechtigungen;_slide_;[QUIZ]Welche Berechtigungen verbergen sich hinter der Berechtigungs-Gruppe “Sonstiges”?;0SMS versenden;1Alle Berechtigungen, die keiner anderen Kategorie zugewiesen werden können;0Auf Kontakte zugreifen;0Keine;_slide_;[QUIZ]Welche der folgenden Apps helfen dir dabei, Berechtigungen einzuschränken?;0Appmania;1Permission Friendly Apps;0App-Topia;1App Detective;_slide_;[QUIZ]Habe ich einer App bestimmte Berechtigungen eingeräumt, werden bei einem automatischen Update…;1Berechtigungen bereits autorisierter Kategorien nicht erneut erwähnt;0Erneut alle bisherigen Berechtigungen eingeholt;0Alle neuen Berechtigungen einzeln angezeigt. Das Update wird erst durchgeführt, wenn der Nutzer die neuen Berechtigungen akzeptiert;0Alle neuen Berechtigungen ignoriert;_slide_;[CERT]5;Super, das war alles richtig! Everybody asks for your permission!;;Das war nicht ganz richtig, du solltest nochmal nachlesen und es erneut probieren! :);;;;;;;;;;;;;;;;;;
Datenschutzgesetze;Begriffsbestimmung;Info;0;3;1;0;Bevor wir uns der gesetzlichen Lage zuwenden, definieren wir ein paar Begriffe aus dem Bereich Datenschutz.;Zuerst unterscheiden wir zwischen zwei ähnlich wirkenden Begriffen, die jedoch ganz unterschiedliche Dinge bezeichnen.;_slide_;<i>Datensicherheit</i>;Bei Datensicherheit geht es darum, den Schutz der Daten zu gewährleisten. So möchte man verhindern, dass Unberechtigte Zugang erhalten, Daten gestohlen werden oder durch technische Ausfälle verloren gehen.;_slide_;<i>Datenschutz</i>;Beim Datenschutz hingegen steht der Schutz der Privatsphäre des Menschen im Mittelpunkt. Zentral ist hierbei die “Informationelle Selbstbestimmung”.;_slide_;<i>Informationelle Selbstbestimmtheit</i>;Hiermit ist gemeint, dass das Erheben personenbezogener Daten erst einmal verboten ist. Zum Sammeln persönlicher Daten ist die Einwilligung des Betroffenen einzuholen.;Unter bestimmten Umständen gibt es Ausnahmen dieser Regelungen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datenschutzgesetze;Einführung in die Gesetzeslage;Info;0;3;2;0;In Deutschland gibt es verschiedene Gesetze.;Zum einen haben die Länder ihr jeweils eigenes Landesdatenschutzgesetz, welches regelt, wie die Ämter mit personenbezogenen Daten umzugehen haben.;Zum anderen gibt es das Bundesdatenschutzgesetz, welches sowohl gewerblich als auch staatlich gilt.;_slide_;BDSG - Bundesdatenschutzgesetz;Hier wird der Datenschutz für öffentliche Stellen des Bundes und nicht-öffentliche Stellen geregelt. Geheimhaltungspflichten bleiben jedoch unberührt. Die gesamte Ausgabe ist unter folgendem Link zu finden:;https://www.gesetze-im-internet.de/bdsg_1990/;_slide_;Gemäß Paragraph 6 des BDSG hat jeder das Recht, Auskunft darüber zu erhalten, welche Informationen durch welche Quelle zu welchem Zweck über ihn gespeichert werden.;Dies kann jedoch durch öffentliches Interesse oder z.B. Firmeninteresse mit Begründung abgelehnt werden.;_slide_;Was bedeuten diese Gesetze für meinen Alltag?;Zum einen schützen sie deine Privatsphäre und den Umgang mit sensiblen, persönlichen Daten.;Jedoch nur, bis wir zu ihrer Preisgabe einwilligen. Und das tun wir meist viel zu unbedacht. Nicht umsonst werden Daten in etlichen Artikeln als “Öl des 21. Jahrhunderts” betitelt.;Es bleibt also eine große Eigenverantwortung bestehen: Wir selbst müssen darauf achten, wie wir unsere Daten verwalten und preisgeben.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datenschutzgesetze;Data-Check;Quiz;3600000;4;3;0;[QUIZ]Datenschutz ist…;1Ländersache;1Im Bundesdatenschutzgesetz geregelt;0Explizit Teil des Grundgesetzes;0Wichtig, aber nicht gesetzlich geregelt;_slide_;[QUIZ]Zu personenbezogenen Daten gehören…;1Krankendaten;1Autokennzeichen;1Augenfarbe;1Familienstand;1Wohnort;_slide_;[QUIZ]Wichtige Aspekte des BDSG sind…;1Datenvermeidung und Datensparsamkeit;1Regelungen zu Ausnahmen;1Informationelle Selbstbestimmung;0Datenüberflussgenerierung;_slide_;[QUIZ]Wenn ich meine Einwilligung zur Erhebung meiner Daten nicht gebe, dann…;0Kann dies auch nicht umgangen werden;1Kann dies in Ausnahmefällen umgangen werden;0Zählt dies nur im gewerblichen Bereich;0Zählt dies nur im öffentlichen Bereich;_slide_;[CERT]10;Toll, du weißt schon ganz gut bescheid!;Leider war das nicht ganz richtig, viel Erfolg beim nächsten Mal!;;;;;;;;;;;;;;;;;;
